Sku,Price,Stock,Review,Number_of_Reviews
242870,"2,099.99",Out of Stock,0.0,0
309408,836.99,Out of Stock,5.0,5
242868,"2,339.99",Out of Stock,5.0,2
309405,368.99,Out of Stock,4.5,2
309410,"1,079.99",Out of Stock,0.0,0
252772,529.99,Out of Stock,0.0,0
309403,647.99,Out of Stock,0.0,0
263325,145.99,Out of Stock,0.0,0
296747,99.99,Out of Stock,4.8,53
226285,979.99,Out of Stock,2.6,5
264493,699.98,Out of Stock,5.0,3
252769,"1,979.99",Out of Stock,0.0,0
234466,"1,049.99",Out of Stock,4.6,39
233678,"2,229.99",Out of Stock,4.7,42
304747,799.99,Out of Stock,0.0,0
284701,559.99,Out of Stock,0.0,0
310451,849.99,Out of Stock,0.0,0
294751,579.99,Out of Stock,4.6,5
264501,829.99,Out of Stock,5.0,6
310449,299.99,Out of Stock,0.0,0
242883,689.99,Out of Stock,5.0,1
304749,"1,399.99",Out of Stock,0.0,0
242877,"1,079.99",Out of Stock,0.0,0
310452,639.99,Out of Stock,0.0,0
294752,519.99,Out of Stock,0.0,0
242881,809.98,Out of Stock,0.0,0
242879,879.99,Out of Stock,1.0,1
263328,541.99,Out of Stock,1.0,3
264495,849.99,Out of Stock,4.5,11
314677,379.99,Out of Stock,0.0,0
263327,219.99,Out of Stock,0.0,0
314686,589.98,Out of Stock,0.0,0
314689,539.98,Out of Stock,0.0,0
314681,459.99,Out of Stock,0.0,0
310450,239.99,Out of Stock,0.0,0
263326,69.99,Out of Stock,0.0,0
264499,919.99,Out of Stock,4.7,6
314678,349.99,Out of Stock,0.0,0
314683,309.99,Out of Stock,0.0,0
314671,146.66,Out of Stock,0.0,0
314679,409.99,Out of Stock,0.0,0
314682,329.99,Out of Stock,0.0,0
314685,309.99,Out of Stock,0.0,0
314675,69.99,Out of Stock,0.0,0
314672,59.99,Out of Stock,0.0,0
314676,409.99,Out of Stock,5.0,1
314674,59.99,Out of Stock,0.0,0
314673,69.99,Out of Stock,0.0,0
